Element Code,Element,Item Code,Item,Year Code,Year,Value
7210,Share in Forest land,6717,Naturally regenerating forest,1990,1990,93.03
7210,Share in Forest land,6717,Naturally regenerating forest,1991,1991,93.02
7210,Share in Forest land,6717,Naturally regenerating forest,1992,1992,93
7210,Share in Forest land,6717,Naturally regenerating forest,1993,1993,92.99
7210,Share in Forest land,6717,Naturally regenerating forest,1994,1994,92.97
7210,Share in Forest land,6717,Naturally regenerating forest,1995,1995,92.96
7210,Share in Forest land,6717,Naturally regenerating forest,1996,1996,92.94
7210,Share in Forest land,6717,Naturally regenerating forest,1997,1997,92.93
7210,Share in Forest land,6717,Naturally regenerating forest,1998,1998,92.91
7210,Share in Forest land,6717,Naturally regenerating forest,1999,1999,92.9
7210,Share in Forest land,6717,Naturally regenerating forest,2000,2000,92.88
7210,Share in Forest land,6717,Naturally regenerating forest,2001,2001,92.89
7210,Share in Forest land,6717,Naturally regenerating forest,2002,2002,92.9
7210,Share in Forest land,6717,Naturally regenerating forest,2003,2003,92.91
7210,Share in Forest land,6717,Naturally regenerating forest,2004,2004,92.92
7210,Share in Forest land,6717,Naturally regenerating forest,2005,2005,92.93
7210,Share in Forest land,6717,Naturally regenerating forest,2006,2006,92.94
7210,Share in Forest land,6717,Naturally regenerating forest,2007,2007,92.95
7210,Share in Forest land,6717,Naturally regenerating forest,2008,2008,92.96
7210,Share in Forest land,6717,Naturally regenerating forest,2009,2009,92.97
7210,Share in Forest land,6717,Naturally regenerating forest,2010,2010,92.97
7210,Share in Forest land,6717,Naturally regenerating forest,2011,2011,93
7210,Share in Forest land,6717,Naturally regenerating forest,2012,2012,93.03
7210,Share in Forest land,6717,Naturally regenerating forest,2013,2013,93.06
7210,Share in Forest land,6717,Naturally regenerating forest,2014,2014,93.09
7210,Share in Forest land,6717,Naturally regenerating forest,2015,2015,93.12
7210,Share in Forest land,6717,Naturally regenerating forest,2016,2016,93.15
7210,Share in Forest land,6717,Naturally regenerating forest,2017,2017,93.18
7210,Share in Forest land,6717,Naturally regenerating forest,2018,2018,93.2
7210,Share in Forest land,6717,Naturally regenerating forest,2019,2019,93.23
7210,Share in Forest land,6717,Naturally regenerating forest,2020,2020,93.25
7210,Share in Forest land,6717,Naturally regenerating forest,2021,2021,93.28
7210,Share in Forest land,6717,Naturally regenerating forest,2022,2022,93.31
7210,Share in Forest land,6717,Naturally regenerating forest,2023,2023,93.33
7210,Share in Forest land,6717,Naturally regenerating forest,2024,2024,93.36
7210,Share in Forest land,6717,Naturally regenerating forest,2025,2025,93.39
7210,Share in Forest land,6716,Planted Forest,1990,1990,6.97
7210,Share in Forest land,6716,Planted Forest,1991,1991,6.98
7210,Share in Forest land,6716,Planted Forest,1992,1992,7
7210,Share in Forest land,6716,Planted Forest,1993,1993,7.01
7210,Share in Forest land,6716,Planted Forest,1994,1994,7.03
7210,Share in Forest land,6716,Planted Forest,1995,1995,7.04
7210,Share in Forest land,6716,Planted Forest,1996,1996,7.06
7210,Share in Forest land,6716,Planted Forest,1997,1997,7.07
7210,Share in Forest land,6716,Planted Forest,1998,1998,7.09
7210,Share in Forest land,6716,Planted Forest,1999,1999,7.1
7210,Share in Forest land,6716,Planted Forest,2000,2000,7.12
7210,Share in Forest land,6716,Planted Forest,2001,2001,7.11
7210,Share in Forest land,6716,Planted Forest,2002,2002,7.1
7210,Share in Forest land,6716,Planted Forest,2003,2003,7.09
7210,Share in Forest land,6716,Planted Forest,2004,2004,7.08
7210,Share in Forest land,6716,Planted Forest,2005,2005,7.07
7210,Share in Forest land,6716,Planted Forest,2006,2006,7.06
7210,Share in Forest land,6716,Planted Forest,2007,2007,7.05
7210,Share in Forest land,6716,Planted Forest,2008,2008,7.04
7210,Share in Forest land,6716,Planted Forest,2009,2009,7.03
7210,Share in Forest land,6716,Planted Forest,2010,2010,7.03
7210,Share in Forest land,6716,Planted Forest,2011,2011,7
7210,Share in Forest land,6716,Planted Forest,2012,2012,6.97
7210,Share in Forest land,6716,Planted Forest,2013,2013,6.94
7210,Share in Forest land,6716,Planted Forest,2014,2014,6.91
7210,Share in Forest land,6716,Planted Forest,2015,2015,6.88
7210,Share in Forest land,6716,Planted Forest,2016,2016,6.85
7210,Share in Forest land,6716,Planted Forest,2017,2017,6.82
7210,Share in Forest land,6716,Planted Forest,2018,2018,6.8
7210,Share in Forest land,6716,Planted Forest,2019,2019,6.77
7210,Share in Forest land,6716,Planted Forest,2020,2020,6.75
7210,Share in Forest land,6716,Planted Forest,2021,2021,6.72
7210,Share in Forest land,6716,Planted Forest,2022,2022,6.69
7210,Share in Forest land,6716,Planted Forest,2023,2023,6.67
7210,Share in Forest land,6716,Planted Forest,2024,2024,6.64
7210,Share in Forest land,6716,Planted Forest,2025,2025,6.61
